image,gt_label,pred_label,confidence
datasets\weather\val\clear\b1c81faa-3df17267.jpg,clear,clear,0.823420524597168
datasets\weather\val\clear\b1c81faa-c80764c5.jpg,clear,clear,0.7558287978172302
datasets\weather\val\clear\b1ca2e5d-84cf9134.jpg,clear,rainy,0.38530656695365906
datasets\weather\val\clear\b1ca8418-84a133a0.jpg,clear,clear,0.5045115947723389
datasets\weather\val\clear\b1cd1e94-26dd524f.jpg,clear,clear,0.7034972310066223
datasets\weather\val\clear\b1ceb32e-3f481b43.jpg,clear,clear,0.8393272161483765
datasets\weather\val\clear\b1ceb32e-51852abe.jpg,clear,overcast,0.5425028800964355
datasets\weather\val\clear\b1cebfb7-284f5117.jpg,clear,overcast,0.5040808916091919
datasets\weather\val\clear\b1d10d08-5b108225.jpg,clear,rainy,0.3481042683124542
datasets\weather\val\clear\b1d10d08-743fd86c.jpg,clear,clear,0.6095290780067444
datasets\weather\val\clear\b1d10d08-c35503b8.jpg,clear,snowy,0.5279746055603027
datasets\weather\val\clear\b1d10d08-da110fcb.jpg,clear,snowy,0.2589564323425293
datasets\weather\val\clear\b1d22449-117aa773.jpg,clear,clear,0.4935496151447296
datasets\weather\val\clear\b1d22449-15fb948f.jpg,clear,clear,0.582425057888031
datasets\weather\val\clear\b1d3907b-2278601b.jpg,clear,clear,0.4779372811317444
datasets\weather\val\clear\b1d4b62c-60aab822.jpg,clear,clear,0.42710739374160767
datasets\weather\val\clear\b1d4b62c-89eeb5d3.jpg,clear,clear,0.6561080813407898
datasets\weather\val\clear\b1d4b62c-d9805029.jpg,clear,clear,0.4212033152580261
datasets\weather\val\clear\b1d59b1f-a38aec79.jpg,clear,overcast,0.3922821283340454
datasets\weather\val\clear\b1d7b3ac-0bdb47dc.jpg,clear,rainy,0.30519339442253113
datasets\weather\val\clear\b1d7b3ac-2a92e19f.jpg,clear,rainy,0.3967278003692627
datasets\weather\val\clear\b1d7b3ac-36f2d3b7.jpg,clear,clear,0.5058188438415527
datasets\weather\val\clear\b1d7b3ac-5744370e.jpg,clear,overcast,0.41944316029548645
datasets\weather\val\clear\b1d7b3ac-5af8623b.jpg,clear,snowy,0.30607011914253235
datasets\weather\val\clear\b1d7b3ac-995f9d8a.jpg,clear,overcast,0.31858617067337036
datasets\weather\val\clear\b1d7b3ac-9e14f05f.jpg,clear,snowy,0.47213444113731384
datasets\weather\val\clear\b1d7b3ac-afa57f22.jpg,clear,overcast,0.3378387987613678
datasets\weather\val\clear\b1d8735d-eee9f184.jpg,clear,clear,0.5393288731575012
datasets\weather\val\clear\b1dac7f7-6b2e0382.jpg,clear,overcast,0.4239180088043213
datasets\weather\val\clear\b1db7e22-cfa74dc3.jpg,clear,rainy,0.3719237744808197
datasets\weather\val\clear\b1dce572-c6a8cb5e.jpg,clear,snowy,0.6385568976402283
datasets\weather\val\clear\b1df722f-57d21f3f.jpg,clear,overcast,0.4151603877544403
datasets\weather\val\clear\b1df722f-5bcc3db7.jpg,clear,clear,0.506775975227356
datasets\weather\val\clear\b1e2346e-c5f98707.jpg,clear,clear,0.47157976031303406
datasets\weather\val\clear\b1e3e9f5-92377424.jpg,clear,overcast,0.5376232862472534
datasets\weather\val\clear\b1e62c91-eca210a9.jpg,clear,clear,0.414541631937027
datasets\weather\val\clear\b1e88fd2-c1e4fd2b.jpg,clear,rainy,0.5412713885307312
datasets\weather\val\clear\b1e8ad72-c3c79240.jpg,clear,rainy,0.32125797867774963
datasets\weather\val\clear\b1ebfc3c-740ec84a.jpg,clear,clear,0.43306565284729004
datasets\weather\val\clear\b1ebfc3c-cc9c2bb8.jpg,clear,rainy,0.6753430962562561
datasets\weather\val\clear\b1ee702d-0ae1fc10.jpg,clear,rainy,0.5661171078681946
datasets\weather\val\clear\b1ee702d-4a193906.jpg,clear,rainy,0.5390780568122864
datasets\weather\val\clear\b1ee702d-525fcebf.jpg,clear,clear,0.5892090201377869
datasets\weather\val\clear\b1f0efd9-e900c6e5.jpg,clear,rainy,0.41205474734306335
datasets\weather\val\clear\b1f20aa0-3401c3bf.jpg,clear,rainy,0.8162505030632019
datasets\weather\val\clear\b1f20aa0-50213047.jpg,clear,clear,0.6069496273994446
datasets\weather\val\clear\b1f20aa0-6ef1db42.jpg,clear,clear,0.6352501511573792
datasets\weather\val\clear\b1f4491b-97465266.jpg,clear,overcast,0.4804280400276184
datasets\weather\val\clear\b1f62c41-ed0c6521.jpg,clear,overcast,0.5009030699729919
datasets\weather\val\clear\b1f6c103-5ce1f3c6.jpg,clear,rainy,0.568787157535553
datasets\weather\val\clear\b1f6c103-8b75ea3e.jpg,clear,rainy,0.37403619289398193
datasets\weather\val\clear\b1f6c103-b00e8aad.jpg,clear,clear,0.4895593822002411
datasets\weather\val\clear\b1fbaab8-68db7df7.jpg,clear,clear,0.7496809959411621
datasets\weather\val\clear\b1fbf878-b31a8293.jpg,clear,rainy,0.35990020632743835
datasets\weather\val\clear\b1ff4656-94ee8536.jpg,clear,overcast,0.47485053539276123
datasets\weather\val\clear\b2a0648b-d8e126bc.jpg,clear,rainy,0.6895931363105774
datasets\weather\val\clear\b2a0dbe8-85f1894e.jpg,clear,rainy,0.5268437266349792
datasets\weather\val\clear\b2a1e013-638d6e4d.jpg,clear,clear,0.8201749324798584
datasets\weather\val\clear\b2a1e172-a969db88.jpg,clear,clear,0.5667963624000549
datasets\weather\val\clear\b2a4bc4d-6f7c1727.jpg,clear,rainy,0.6797246932983398
datasets\weather\val\clear\b2a4bc4d-b251ccb1.jpg,clear,rainy,0.7442329525947571
datasets\weather\val\clear\b2a5baf7-58519386.jpg,clear,clear,0.6918156743049622
datasets\weather\val\clear\b2a60634-0817a6eb.jpg,clear,clear,0.5582493543624878
datasets\weather\val\clear\b2a60634-40847419.jpg,clear,rainy,0.5371354818344116
datasets\weather\val\clear\b2a60634-6e9f96fe.jpg,clear,clear,0.6110584735870361
datasets\weather\val\clear\b2a60634-ad36f179.jpg,clear,clear,0.6967934966087341
datasets\weather\val\clear\b2a8e8b4-a4e93829.jpg,clear,clear,0.3702560365200043
datasets\weather\val\clear\b2a99ee3-5abca703.jpg,clear,clear,0.5702351331710815
datasets\weather\val\clear\b2ae0446-4b0bfda7.jpg,clear,snowy,0.5607249736785889
datasets\weather\val\clear\b2afce7f-0cb9967a.jpg,clear,snowy,0.9710603952407837
datasets\weather\val\clear\b2b03a01-a60e895f.jpg,clear,overcast,0.36667945981025696
datasets\weather\val\clear\b2b70230-c43553a9.jpg,clear,overcast,0.4502618610858917
datasets\weather\val\clear\b2bc4efb-a184131d.jpg,clear,snowy,0.4840492904186249
datasets\weather\val\clear\b2bdb7b6-137acb11.jpg,clear,rainy,0.5724072456359863
datasets\weather\val\clear\b2bdc7e5-b4ebc5bd.jpg,clear,rainy,0.4794924855232239
datasets\weather\val\clear\b2bf0e03-a07f0a81.jpg,clear,rainy,0.6375187635421753
datasets\weather\val\clear\b2bf0e03-a3921cd6.jpg,clear,clear,0.4926794767379761
datasets\weather\val\clear\b2c5110e-09e459e9.jpg,clear,clear,0.6216148138046265
datasets\weather\val\clear\b2c5110e-ef7e4997.jpg,clear,clear,0.5693778991699219
datasets\weather\val\clear\b2c7ebc4-731ea908.jpg,clear,clear,0.6289778351783752
datasets\weather\val\clear\b2c88d3b-1c1ad881.jpg,clear,rainy,0.510540783405304
datasets\weather\val\clear\b2c9b221-d447dcc3.jpg,clear,rainy,0.6485235691070557
datasets\weather\val\clear\b2cac490-b27b82da.jpg,clear,clear,0.5762617588043213
datasets\weather\val\clear\b2cd33bd-a5043d29.jpg,clear,snowy,0.41368767619132996
datasets\weather\val\clear\b2cf78ec-6043f571.jpg,clear,rainy,0.6565749049186707
datasets\weather\val\clear\b2d22b2f-91d0af18.jpg,clear,snowy,0.9283691644668579
datasets\weather\val\clear\b2d3510a-659ae4de.jpg,clear,clear,0.4622078239917755
datasets\weather\val\clear\b2d4c878-2267ca6d.jpg,clear,clear,0.4660595655441284
datasets\weather\val\clear\b2d502aa-64d3e228.jpg,clear,rainy,0.4920012652873993
datasets\weather\val\clear\b2d502aa-ef17ffbd.jpg,clear,rainy,0.6159793138504028
datasets\weather\val\clear\b2d502aa-f8382905.jpg,clear,overcast,0.38396066427230835
datasets\weather\val\clear\b2d502aa-f9141409.jpg,clear,rainy,0.556800901889801
datasets\weather\val\clear\b2d9b817-9a617024.jpg,clear,clear,0.42058566212654114
datasets\weather\val\clear\b2db41a2-721e0f4e.jpg,clear,clear,0.767221212387085
datasets\weather\val\clear\b2dbb793-305e0fc5.jpg,clear,clear,0.5775177478790283
